1054	5:53:37
1328	5:50:22
1344	5:50:01
1559	5:45:18
1055	5:40:52
1992	5:40:04
1851	5:34:20
1514	5:11:28
1055	5:05:50
1559	4:55:53
1851	4:49:19
1328	4:46:25
1992	4:45:37
1985	4:40:50
1619	4:40:19
1344	4:39:48
1514	4:34:26
1982	4:33:58
1620	4:33:13
1055	4:29:36
1559	4:16:57
1851	4:13:54
1634	4:13:16
1328	4:06:18
1635	4:03:13
1992	4:01:45
1985	3:59:34
1619	3:58:37
1514	3:56:24
1344	3:53:31
1215	3:52:38
1055	3:50:48
1982	3:49:13
1214	3:47:11
1620	3:44:02
1851	3:35:05
1559	3:33:11
1634	3:30:15
1635	3:26:23
1681	3:25:03
1992	3:18:48
1985	3:15:35
1328	3:13:52
1619	3:13:34
1055	3:09:19
1514	3:07:28
1214	3:06:13
1982	3:03:33
1620	3:00:39
1851	2:59:30
1215	3:00:54
1213	2:55:29
1215	2:11:49
1344	2:53:33
1559	2:50:53
1635	2:48:16
1634	2:45:07
1916	2:44:44
1681	2:43:17
1992	2:38:50
1985	2:36:29
1328	2:28:02
1055	2:29:53
1514	2:29:19
1054	2:27:31
1619	2:26:16
1214	2:21:35
1620	2:18:41
1213	2:13:31
1982	2:12:58
1635	2:07:23
1559	2:06:20
1344	2:00:14
1055	1:56:10
1634	1:54:06
1992	1:51:47
1985	1:49:21
1619	1:48:22
1054	1:39:58
1214	1:40:38
1620	1:33:11
1213	1:32:01
1328	1:30:05
1215	1:29:29
1559	1:22:23
1344	1:09:04
1214	23:55:55
1984	0:07:35
1328	0:01:14
1055	0:00:39
1212	23:57:32
1054	23:54:28
1213	23:51:07
1634	23:45:28
1559	23:43:36
1635	23:42:43
1982	23:40:16
1992	23:36:57
1052	23:35:02
1985	23:30:27
1984	23:29:10
1881	23:26:20
1328	23:24:25
1619	23:22:12
1620	23:21:39
1055	23:17:06
1212	23:15:47
1214	23:13:54
1054	23:10:00
1213	23:08:54
1559	23:05:34
1344	23:03:39
1634	23:02:46
1635	22:59:08
1215	22:58:21
1992	22:54:57
1052	22:48:18
1982	22:47:48
1985	22:44:54
1881	22:41:29
1984	22:40:21
1055	22:37:21
1619	22:35:32
1212	22:35:06
1214	22:31:42
1620	22:30:36
1559	22:28:05
1054	22:26:36
1328	22:24:48
1635	22:21:41
1634	22:21:08
1213	22:19:26
1992	22:03:51
1215	22:03:20
1982	21:56:35
1055	21:45:12
1984	21:44:45
1212	21:43:32
1635	21:37:29
1231	21:38:15
1619	21:36:30
1620	21:31:58
1052	21:31:23
1985	21:30:47
1559	21:27:30
1054	21:25:21
1214	21:16:30
1634	21:05:18
1982	21:06:13
1213	21:06:49
1215	21:02:52
1344	21:00:24
1055	20:54:30
1635	20:54:08
1984	20:53:30
1619	20:52:02
1985	20:47:26
1231	20:48:09
1212	20:46:17
1559	20:42:44
1052	20:44:08
1620	20:38:53
1214	20:34:13
1054	20:33:32
1213	20:19:24
1634	20:12:55
1514	20:13:39
1982	20:06:27
1055	20:06:54
1984	20:04:55
1231	19:59:13
1212	19:55:24
1635	19:54:25
1619	19:49:26
1214	19:35:31
1052	19:50:52
1620	19:48:47
1054	19:42:04
1559	19:40:10
1213	19:33:26
1851	19:29:17
1514	19:24:44
1992	19:24:18
1915	19:19:40
1984	19:19:12
1738	19:11:57
1215	19:09:56
1052	18:59:38
1212	18:57:56
1620	18:56:10
1635	18:51:49
1055	18:46:37
1559	18:45:56
1231	18:42:40
1213	18:41:10
1514	18:29:20
1054	18:29:01
1882	18:11:39
1992	18:10:57
1215	18:08:24
1634	18:07:14
1212	18:04:19
